DOM_EDIFIC,OTRAS_ENTR,NOMBRE_EST,NOMB_ABREV,TELEFONO,CORREO_WEB,NIVTIP,DEPFUN,LONGITUDE,LATITUDE,GEOJSON
Talcahuano 1207,,Centro Argentino de Vinos y Espirituosas ET 11 454/04,Ctro. Arg. de Vinos,4812-3412,,Otras,Gestion Privada,-58.3857266089057,-34.5943501146293,"{""type"":""Point"",""coordinates"":[-58.38573,-34.59435]}"
Avda. Corrientes 1994,,Nueva Escuela de Psicología  Social (NPES),Nva. Esc. de Psicología Social,4953-0903,,Otras,Gestion Privada,-58.3951070410913,-34.604664378779,"{""type"":""Point"",""coordinates"":[-58.39511,-34.60466]}"
Humberto Iş 2260,,Inst. de Estudios para la Industria de la Construcción,I. de Estudios Ind. Construcción,4308-2257/58,,Otras,Gestion Privada,-58.3975619796662,-34.6219522694455,"{""type"":""Point"",""coordinates"":[-58.39756,-34.62195]}"
Campo Salles 2155,,Escuela  Argentina de Fotografía,Esc. Arg. de Fotografía,4701-1772,,Otras,Gestion Privada,-58.4634527430879,-34.550738845439,"{""type"":""Point"",""coordinates"":[-58.46345,-34.55074]}"
Tucuman 3070,,Escuela Mi Lugar (Hamakom Sheli),Esc. Mi Lugar (Hamakom Sheli),4966-2226,,Otras,Gestion Privada,-58.4086729119527,-34.6010328270876,"{""type"":""Point"",""coordinates"":[-58.40867,-34.60103]}"
Avda. Salvador María del Carril 4350,,Inst. Mágico SRL,I Mágico SRL,4501-0809,,Otras,Gestion Privada,-58.5160971059399,-34.6019849238222,"{""type"":""Point"",""coordinates"":[-58.5161,-34.60198]}"
Burela 2147,,Kindergarten Murrungato,Kindergarten Murrungato,4521-3320,,IniCom,Gestion Privada,-58.4898307799032,-34.5799427412055,"{""type"":""Point"",""coordinates"":[-58.48983,-34.57994]}"
Avda. Olazábal 1440,,Inst. Superior Interprete Idioma Chino,I. Idioma Chino,4786-1248,,PriEsp,Gestion Privada,-58.448596080267,-34.5545163454372,"{""type"":""Point"",""coordinates"":[-58.4486,-34.55452]}"
Avda. Olazábal 1440,,Inst. Superior El Embudo Entrenamiento y Aprendizaje del Actor,I. El Embudo,4786-3050,,PriEsp,Gestion Privada,-58.448596080267,-34.5545163454372,"{""type"":""Point"",""coordinates"":[-58.4486,-34.55452]}"
Avda. Olazábal 1440,,Inst. Superior Fleni,I. Fleni,5777-3200 int 3922,,PriEsp,Gestion Privada,-58.448596080267,-34.5545163454372,"{""type"":""Point"",""coordinates"":[-58.4486,-34.55452]}"
Jaramillo 2267,Jaramillo 2263,Escuela Integral Dr. Albert Schwcitzer,Esc. I. A Schwictzer,4702-7755,,PriCom,Gestion Privada,-58.4673571111805,-34.5472599090807,"{""type"":""Point"",""coordinates"":[-58.46736,-34.54726]}"
Montiel 75,,Escuela Superior de Auxiliares de la Medicina,Esc. Sup. de Auxiliares de la Medicina,4664-6117,,PriEsp,Gestion Privada,-58.5264903754077,-34.6399429805406,"{""type"":""Point"",""coordinates"":[-58.52649,-34.63994]}"
Avda. Rivadavia 11444,,Inst. Educación Argentino Liniers,I A Liniers,4643-2201/2008,,SNUCom - MedAdu,Gestion Privada,-58.5258681989486,-34.6392904843977,"{""type"":""Point"",""coordinates"":[-58.52587,-34.63929]}"
11 de Septiembre de 1888 988,,Musicarte XXI Centro de Artes Marciales,Musicarte XXI,4779-2021,,PriEsp,Gestion Privada,-58.441980368794,-34.5689521461029,"{""type"":""Point"",""coordinates"":[-58.44198,-34.56895]}"
Avda. San Martín  7465,,Inst. Privado Argentino de Computación,Inst Arg Computación,3535-2525,,PriEsp,Gestion Privada,-58.5179854983546,-34.5893819908156,"{""type"":""Point"",""coordinates"":[-58.51799,-34.58938]}"
Emilio Lamarca 3136,,El Jarděn de la Cuadra,El Jarděn de la Cuadra,4502-9633,,IniCom,Gestion Privada,-58.5016236991329,-34.6035307515363,"{""type"":""Point"",""coordinates"":[-58.50162,-34.60353]}"
Riobamba 650,,Inst. Superior Privado Biojunín,I Biojuněn,5254-0107,,SNUCom,Gestion Privada,-58.3942823844464,-34.601452409879,"{""type"":""Point"",""coordinates"":[-58.39428,-34.60145]}"
Florida 656,,Escuela Argentina de Moda,Esc .Argentina de la Moda,4328-1705,,SNUCom,Gestion Privada,-58.3754851939678,-34.6004183603662,"{""type"":""Point"",""coordinates"":[-58.37549,-34.60042]}"
Adolfo Alsina 1926,,Jardín Materno Infantil El Libro Mágico,El Libro Mágico,4952-4050,LAURAISMACH@HOTMAIL.COM,IniCom,Gestion Privada,-58.3936811086455,-34.6117824191465,"{""type"":""Point"",""coordinates"":[-58.39368,-34.61178]}"
Arregui 3025,,Escuela Infantil Ruiditos,Ruiditos,4501-4432,RUIDITOS94@FIBERTEL.COM.AR,IniCom,Gestion Privada,-58.4877342793499,-34.6065043390553,"{""type"":""Point"",""coordinates"":[-58.48773,-34.6065]}"
Basavilbaso 1212,,Jardín Maternal Cancillería,JM Cancillería,4819-8161,JARDIN@CANCILLERIA.GOV.AR,IniCom,Gestion Privada,-58.377649611902,-34.593920609046,"{""type"":""Point"",""coordinates"":[-58.37765,-34.59392]}"
José Marmol 345,,Jardín Tierra de Aventuras,Tierra de Aventuras,4958-0401,TIERRADEAVENTURAS@HOTMAIL.COM,IniCom,Gestion Privada,-58.4259741751514,-34.6174809716158,"{""type"":""Point"",""coordinates"":[-58.42597,-34.61748]}"
Mendoza 3644,,Jardín de los Caminos,Jardín de los Caminos,4542-8526,INFO@JARDINDELOSCAMINOS.COM.AR,IniCom,Gestion Privada,-58.4695986218047,-34.5685088131699,"{""type"":""Point"",""coordinates"":[-58.4696,-34.56851]}"
México 1743,,Jardín Mi Sol,Jardín Mi Sol,4381-3001,JARDIN_MISOL@HOTMAIL.COM,IniCom,Gestion Privada,-58.390934340359,-34.6155574472161,"{""type"":""Point"",""coordinates"":[-58.39093,-34.61556]}"
Méndez de Andés 675,,Jardín del Girasol,Jardín del Girasol,4433-1021,JARDINDELGIRASOL@HOTMAIL.COM,IniCom,Gestion Privada,-58.4438735819361,-34.613811873619,"{""type"":""Point"",""coordinates"":[-58.44387,-34.61381]}"
Paysandú 942,,Escuela Infantil Jardín del Tiempo,Jardín del Tiempo,4582-9003,JDTA@ARNET.COM.AR,IniCom,Gestion Privada,-58.4526663190178,-34.6129299348934,"{""type"":""Point"",""coordinates"":[-58.45267,-34.61293]}"
Muńiz 438,,Escuela Infantil Artelin,Artelín,4981-0085,ARTELIN1940@YAHOO.COM.AR,IniCom,Gestion Privada,-58.427103004241,-34.6186014905917,"{""type"":""Point"",""coordinates"":[-58.4271,-34.6186]}"
Esquiú 973,,Jardín Maternal La Abuela Pata,La Abuela Pata,4918-1646,LAABUELAPATA@HOTMAIL.COM,IniCom,Gestion Privada,-58.4173433659305,-34.6517764938862,"{""type"":""Point"",""coordinates"":[-58.41734,-34.65178]}"
Humahuaca 3944,,Escuela Infantil Tiempo de Juego,Tiempo de Juego,4862-2249,TIEMPODEJUEGO@YAHOO.COM.AR,IniCom,Gestion Privada,-58.4199765140692,-34.6021561900536,"{""type"":""Point"",""coordinates"":[-58.41998,-34.60216]}"
Panamá 942,,Escuela Infantil Veo Veo,Veo Veo,4866-2050,VEOVEO@FIBERTEL.COM.AR,IniCom,Gestion Privada,-58.4313889966731,-34.6032222426088,"{""type"":""Point"",""coordinates"":[-58.43139,-34.60322]}"
Arenales 3663,,Jardín de Infantes New Hamelin,New Hamelin,4832-9377,NEW_HAMELIN@HOTMAIL.COM,IniCom,Gestion Privada,-58.4136604567964,-34.5852981165179,"{""type"":""Point"",""coordinates"":[-58.41366,-34.5853]}"
Avda. Manuel Montes de Oca 475,,Escuela Infantil Enanitos Revoltosos,Enanitos Revoltosos,4307-2908,ENANITOSREVOLTOSOS@HOTMAIL.COM,IniCom,Gestion Privada,-58.3756853063422,-34.6341240638977,"{""type"":""Point"",""coordinates"":[-58.37569,-34.63412]}"
Condarco 1652,,Jardín Modelo Hermano Sol,Hermano Sol,4585-7694,HERMANOSOL@FIBERTEL.COM.AR,IniCom,Gestion Privada,-58.4762031389206,-34.613623949981,"{""type"":""Point"",""coordinates"":[-58.4762,-34.61362]}"
Almte. Francisco J. Seguí 2344,,En Busca del Sol,En Busca del Sol,4584-1436,MIRIAMACRI@HOTMAIL.COM,IniCom,Gestion Privada,-58.4617834687969,-34.599270550616,"{""type"":""Point"",""coordinates"":[-58.46178,-34.59927]}"
Avda. de los Constituyentes 6035,,Mi Jardín,Mi Jardín,4571-2608,DIRECCION@ESCUELAMIJARDIN.COM.AR,IniCom,Gestion Privada,-58.5057849952926,-34.5717921068807,"{""type"":""Point"",""coordinates"":[-58.50578,-34.57179]}"
Rincón 507,,Centro Educ Infantil El Gato con Zuecos,El Gato con Zuecos,4942-9754,,IniCom,Gestion Privada,-58.396220729426,-34.6154144951774,"{""type"":""Point"",""coordinates"":[-58.39622,-34.61541]}"
Maipú 582,,Escuela Infantil Pilpilihue,Pilpilihue,4328-2728,JINPILPILIHUE@YAHOO.COM.AR,IniCom,Gestion Privada,-58.3768762582958,-34.6013632883869,"{""type"":""Point"",""coordinates"":[-58.37688,-34.60136]}"
Mario Bravo 976,,Kinder School,Kinder School,4862-9817,INFO@KINDERSCHOOL.COM.AR,IniCom,Gestion Privada,-58.4162350795444,-34.598210136994,"{""type"":""Point"",""coordinates"":[-58.41624,-34.59821]}"
Avda. Gral. Las Heras 2966,,Jardín de Infantes El Principito,El Principito,4803-0942,INFO@EL-PRINCIPITO.COM.AR,IniCom,Gestion Privada,-58.4033235304029,-34.5835375690145,"{""type"":""Point"",""coordinates"":[-58.40332,-34.58354]}"
Donado 2345,,Jardín Pájaro Carpintero,Jardín Pájaro Carpintero,4544-2617,ESCUELAWOODPECKER@YAHOO.COM.AR,IniCom,Gestion Privada,-58.4768868086622,-34.5706066692307,"{""type"":""Point"",""coordinates"":[-58.47689,-34.57061]}"
Avda. Belgrano 2940,,Escuela Infantil Chiquilín,Infantil Chiquilín,4931-3283,JARDINCHIQUILIN@GMAIL.COM,IniCom,Gestion Privada,-58.4070410709112,-34.6150349174467,"{""type"":""Point"",""coordinates"":[-58.40704,-34.61503]}"
Lynch 3735,,Escuela Infantil Pimpinela,Pimpinela,4911-8088,JARDINPIMPINELA@YAHOO.COM.AR,IniCom,Gestion Privada,-58.4128274239181,-34.6524534393834,"{""type"":""Point"",""coordinates"":[-58.41283,-34.65245]}"
Avda. Pedro Goyena 1043,,Escuela Infantil Jarpadimpi,Jarpadimpi,4431-8035,JARPADIMPI@HOTMAIL.COM,IniCom,Gestion Privada,-58.4421532502324,-34.6265136507354,"{""type"":""Point"",""coordinates"":[-58.44215,-34.62651]}"
Avda. Dorrego 550,,Jakaira Centro para madres y padres adolescentes,Jakaira,4854-5723,JAKAIRA@FUNDACIONKALEIDOS.ORG,IniCom,Gestion Privada,-58.4502752515825,-34.5939239792406,"{""type"":""Point"",""coordinates"":[-58.45028,-34.59392]}"
Bacacay 2329,,New Sweet Palace,New Sweet Palace,4613-2512,JARDINSWEETPALACE@YAHOO.COM.AR,IniCom,Gestion Privada,-58.4627240935441,-34.6260455267671,"{""type"":""Point"",""coordinates"":[-58.46272,-34.62605]}"
Julián Alvarez 2488,,Chicos Kids,Chicos Kids,4823-3826,KIDSESCUELAINFANTIL@LIVE.COM.AR,IniCom,Gestion Privada,-58.4143726204627,-34.5864598513312,"{""type"":""Point"",""coordinates"":[-58.41437,-34.58646]}"
José Bonifacio 931,,Jardín del Bosque,Jardín del Bosque,,JARDINDELBOSQUEMATERNAL@HOTMAIL.COM,IniCom,Gestion Privada,-58.4406467405216,-34.6275948621928,"{""type"":""Point"",""coordinates"":[-58.44065,-34.62759]}"
Hortiguera 338,,Escuela Infantil Mundo Nińos,Mundo Nińos,4432-9347,LEATHERSTYLE@HOTMAIL.COM,IniCom,Gestion Privada,-58.4457123224948,-34.6263215202501,"{""type"":""Point"",""coordinates"":[-58.44571,-34.62632]}"
Blanco Encalada 2650,,Escuela Infantil La Luna y el Sol,La Luna y el Sol,4783-6623,SIN DATOS,IniCom,Gestion Privada,-58.4613316588264,-34.5607191148534,"{""type"":""Point"",""coordinates"":[-58.46133,-34.56072]}"
Blanco Encalada 4860,,Escuela Infantil La Luna y el Sol,La Luna y el Sol,4523-5943,SIN DATOS,IniCom,Gestion Privada,-58.4842382930195,-34.5744475126997,"{""type"":""Point"",""coordinates"":[-58.48424,-34.57445]}"
Avda. Belgrano 2024,,Escuela Infantil La Puertita,La Puertita,4942-6718,LAPUERTITA@FULLZERO.COM.AR,IniCom,Gestion Privada,-58.3950202438189,-34.6142080967191,"{""type"":""Point"",""coordinates"":[-58.39502,-34.61421]}"
Echeverría 3024,,Bloomfield Kindergarten,Bloomfield Kindergarten,4706-2365,BLOOMFIELD@SION.COM,IniCom,Gestion Privada,-58.461681419899,-34.5665501459145,"{""type"":""Point"",""coordinates"":[-58.46168,-34.56655]}"
Quesada 2876,,Escuela Infantil La Casita de Any,La Casita de Any,4544-1881,S/D,IniCom,Gestion Privada,-58.4677563464886,-34.5568436734707,"{""type"":""Point"",""coordinates"":[-58.46776,-34.55684]}"
Bauness 1865,,El Jardín de Moni-K,El Jardín de Moni-K,4522-2816,INFO@MONI-K.COM.AR,IniCom,Gestion Privada,-58.4825819333113,-34.5802900224668,"{""type"":""Point"",""coordinates"":[-58.48258,-34.58029]}"
Azara 823,,Jardín de Infantes Alpargatita,Alpargatita,4124-2441,ALPARGATITA@SINECTIS.COM.AR,IniCom,Gestion Privada,-58.3712459437887,-34.6395329616313,"{""type"":""Point"",""coordinates"":[-58.37125,-34.63953]}"
Beauchef 1050,,El Mundo de los Bajitos,El Mundo de los Bajitos,4926-0419,MUNDO_BAJITOS@HOTMAIL.COM,IniCom,Gestion Privada,-58.4317611920318,-34.6296125473649,"{""type"":""Point"",""coordinates"":[-58.43176,-34.62961]}"
Godoy Cruz 2790,,Jardín del Bosque de Palermo,Jardín del Bosque de Palermo,4773-8566,INFO@ELJARDINDELBOSQUE.COM.AR,IniCom,Gestion Privada,-58.4245963755527,-34.5777234803977,"{""type"":""Point"",""coordinates"":[-58.4246,-34.57772]}"
Avda. San Juan 3788,,Escuela Infantil Meterete,Meterete,4926-2221,JARDINMETERETE@HOTMAIL.COM,IniCom,Gestion Privada,-58.4186635132546,-34.6258984396286,"{""type"":""Point"",""coordinates"":[-58.41866,-34.6259]}"
Vicente López 1671,,Sweetys Kindergerten,Sweetys Kindergerten,4812-0759,SWEETYSKINDERGARTEN@YAHOO.COM.AR,IniCom,Gestion Privada,-58.3895418009504,-34.5918543303429,"{""type"":""Point"",""coordinates"":[-58.38954,-34.59185]}"
Paraguay 958,,Jardín de la Abuela,Jardín de la Abuela,4328-0221,JARDINDELAABUELA@DATAFULL.COM,IniCom,Gestion Privada,-58.3806895248969,-34.5978922581725,"{""type"":""Point"",""coordinates"":[-58.38069,-34.59789]}"
Bolivia 4746,,Escuela Infantil Mar de Juegos,Mar de Juegos,4574-2599,INFORMES@JARDINMARDEJUEGOS.COM.AR,IniCom,Gestion Privada,-58.4994144264452,-34.5838500907265,"{""type"":""Point"",""coordinates"":[-58.49941,-34.58385]}"
Manuel García 12,,La Galera Azul,La Galera Azul,4943-6373,LAGALERAAZUL@MIJARDINWEB.COM.AR,IniCom,Gestion Privada,-58.3972203199022,-34.6358134744968,"{""type"":""Point"",""coordinates"":[-58.39722,-34.63581]}"
Nicaragua 4410,,Escuela Infantil Pisa Pisuela,Pisa Pisuela,4832-2444,,IniCom,Gestion Privada,-58.4234196228669,-34.5897284812565,"{""type"":""Point"",""coordinates"":[-58.42342,-34.58973]}"
Avda. Córdoba 762,,Escuela Infantil Lihuen,Lihuen,4325-6333,LIHUENJARDINMATERNAL@HOTMAIL.COM,IniCom,Gestion Privada,-58.3777259385615,-34.598992139508,"{""type"":""Point"",""coordinates"":[-58.37773,-34.59899]}"
Bulnes 2585,,Escuela Infantil Mi Tiempo,Mi Tiempo,4802-3262,MITIEMPO@ARNET.COM.AR,IniCom,Gestion Privada,-58.4065907950021,-34.5822511099993,"{""type"":""Point"",""coordinates"":[-58.40659,-34.58225]}"
Superí 2363,,Escuela Infantil Kinder Planet,Kinder Planet,4542-6510,KINDERPLANET@MAIL.COM,IniCom,Gestion Privada,-58.4685674544645,-34.5653740662597,"{""type"":""Point"",""coordinates"":[-58.46857,-34.56537]}"
Besares 2213,,Escuela Infantil Ombliguitos,Ombliguitos,4701-5746,JARDINOMBLIGUITOS@YAHOO.COM.AR,IniCom,Gestion Privada,-58.4690715567465,-34.5441750737814,"{""type"":""Point"",""coordinates"":[-58.46907,-34.54418]}"
Arcos 2849,,Sister's Garden,Sister's Garden,4701-0477,INFO@SISTERS.GARDEN-COM.AR,IniCom,Gestion Privada,-58.459834816824,-34.5533071717142,"{""type"":""Point"",""coordinates"":[-58.45983,-34.55331]}"
Páez 2870,,Escuela Infantil El Payaso,El Payaso,4611-9778,COGLIATTIALICIA@HOTMAIL.COM,IniCom,Gestion Privada,-58.472990010422,-34.6221969401013,"{""type"":""Point"",""coordinates"":[-58.47299,-34.6222]}"
Avda. San Juan 3045,,Escuela Infantil Pecas y Flequillo,Pecas y Flequillo,4931-9111,PECASYFLEQUILLO@YAHOO.COM,IniCom,Gestion Privada,-58.4079168100216,-34.6243750540522,"{""type"":""Point"",""coordinates"":[-58.40792,-34.62438]}"
Avda. Eva Perón 3453,,Escuela Infantil El Bosque Encantado,El Bosque Encantado,4613-0630,INFORMES@ELBOSQUEENCANTADO.COM.AR,IniCom,Gestion Privada,-58.4644190925623,-34.644532524471,"{""type"":""Point"",""coordinates"":[-58.46442,-34.64453]}"
Avda. Dr. Honorio Pueyrredón 552,,Escuela Infantil Jardín del Delfín,Jardín del Delfín,4901-8690,JARDINDELDELFIN@ARGENTINA.COM,IniCom,Gestion Privada,-58.4413786414843,-34.6134897814431,"{""type"":""Point"",""coordinates"":[-58.44138,-34.61349]}"
Monroe 1742,,Escuela Infantil El Gato con Notas,El Gato con Notas,4783-3813,ELGATOENNOTAS@HOTMAIL.COM,IniCom,Gestion Privada,-58.4536031922103,-34.5546933050986,"{""type"":""Point"",""coordinates"":[-58.4536,-34.55469]}"
Tronador 1015,,Jardín Motrichicos,Jardín Motrichicos,4554-1922,INFOMOTRICHICOS@YAHOO.COM.AR,IniCom,Gestion Privada,-58.4660262193439,-34.5815250504764,"{""type"":""Point"",""coordinates"":[-58.46603,-34.58153]}"
Victor Martinez 287,,El Jardín de los Abrazos,El Jardín de los Abrazos,4433-0309,ELJARDINDELOSABRAZOS@HOTMAIL.COM,IniCom,Gestion Privada,-58.4447617165818,-34.6251948673335,"{""type"":""Point"",""coordinates"":[-58.44476,-34.62519]}"
Simbrón 4136,,La Casita del Hornero,La Casita del Hornero,4566-5442,,IniCom,Gestion Privada,-58.5079695977516,-34.6063781432236,"{""type"":""Point"",""coordinates"":[-58.50797,-34.60638]}"
José Cubas 4602,,Escuela Infantil El Sapo Rodolfo,El Sapo Rodolfo,4504-5224,ELSAPORODOLFO@HOTMAIL.COM,IniCom,Gestion Privada,-58.5214269120792,-34.6017894849176,"{""type"":""Point"",""coordinates"":[-58.52143,-34.60179]}"
Dean Funes 1971,,Escuela Infantil Mi Grupito,Mi Grupito,4943-6277,MIRTAIWAN@YAOO.COM.AR,IniCom,Gestion Privada,-58.4041960665891,-34.6339701482231,"{""type"":""Point"",""coordinates"":[-58.4042,-34.63397]}"
Darwin 416,,Mi Jardín,Mi Jardín,4854-6798,DARWIN@ESCUELAINFANTIL.COM.AR,IniCom,Gestion Privada,-58.4472557056248,-34.5954802347412,"{""type"":""Point"",""coordinates"":[-58.44726,-34.59548]}"
Valle 643,,Planeta Juego Caballito,Planeta Juego Caballito,4901-4669,PLANETACABALLITO@FIBERTEL.COM.AR,IniCom,Gestion Privada,-58.4368946180375,-34.6244891754807,"{""type"":""Point"",""coordinates"":[-58.43689,-34.62449]}"
Neuquén 1554,,Escuela Infantil Snoopy,Snoopy,4431-6136,PUEBLOAZUL@FIBERTEL.COM.AR,IniCom,Gestion Privada,-58.4555465024721,-34.6158707723125,"{""type"":""Point"",""coordinates"":[-58.45555,-34.61587]}"
La Pampa 2589,,Planeta Juego Belgrano,Planeta Juego Belgrano,4706-3903,BELGRANO@PLANETAJUEGO.COM,IniCom,Gestion Privada,-58.4560872811611,-34.5658099122743,"{""type"":""Point"",""coordinates"":[-58.45609,-34.56581]}"
Malabia 2310,,Planeta Juego Palermo,Planeta Juego Palermo,4832-4258,PALERMO@PLANETAJUEGO.COM,IniCom,Gestion Privada,-58.4198295772328,-34.5859062822307,"{""type"":""Point"",""coordinates"":[-58.41983,-34.58591]}"
Paraguay 1557,,Jardín del Pino,Jardín del Pino,4811-6511,JARDINDELPINO@HOTMAIL.COM,IniCom,Gestion Privada,-58.3890906651434,-34.5983302311532,"{""type"":""Point"",""coordinates"":[-58.38909,-34.59833]}"
Azopardo 1051,,Jardín Materno Infantil El Elefante Trompita,El Elefante Trompita,4361-8460,JARDINSAGPYA@GMAIL.COM,IniCom,Gestion Privada,-58.3672236488262,-34.6199091351202,"{""type"":""Point"",""coordinates"":[-58.36722,-34.61991]}"
Arenales 3702,,New Hamelin Bebecitos,New Hamelin Bebecitos,4832-9377,NEW_HAMELIN@HOTMAIL.COM,IniCom,Gestion Privada,-58.4142284659355,-34.5851193202082,"{""type"":""Point"",""coordinates"":[-58.41423,-34.58512]}"
Avda. Leopoldo Marechal 1092,,Melody Garden,Melody Garden,4982-5745,JARDINMELODY@YAHOO.COM.AR,IniCom,Gestion Privada,-58.4393261925163,-34.6057230921323,"{""type"":""Point"",""coordinates"":[-58.43933,-34.60572]}"
Desagüadero 3441,,Jardín de la Plaza,Jardín de la Plaza,4568-4564,ANIMARCE55@HOTMAIL.COM,IniCom,Gestion Privada,-58.5174792458852,-34.6102235128019,"{""type"":""Point"",""coordinates"":[-58.51748,-34.61022]}"
Emilio Lamarca 3136,,El Jardín de la Cuadra,El Jardín de la Cuadra,4502-9633,ELJARDINDELACUADRA@FIBERTEL.COM.AR,IniCom,Gestion Privada,-58.5016236991329,-34.6035307515363,"{""type"":""Point"",""coordinates"":[-58.50162,-34.60353]}"
Avda. Rivadavia 6060,,Escuela Infantil Jardín Modelo,Jardín Modelo,4433-4701,JARDIN_MODELO06@YAHOO.COM.AR,IniCom,Gestion Privada,-58.450988876184,-34.6245961538254,"{""type"":""Point"",""coordinates"":[-58.45099,-34.6246]}"
Echeverría 5236,,Jardín de Infantes Villa Urquiza,Villa Urquiza,4521-1541,JARDINURQUIZA@ARNET.COM.AR,IniCom,Gestion Privada,-58.4832352171854,-34.5803112197463,"{""type"":""Point"",""coordinates"":[-58.48324,-34.58031]}"
Tabaré 6473,,Escuela Infantil Los Marineritos,Los Marineritos,4605-0492,VEROVE-74@HOTMAIL.COM.AR,IniCom,Gestion Privada,-58.4704585217567,-34.6909335718826,"{""type"":""Point"",""coordinates"":[-58.47046,-34.69093]}"
Eduardo Acevedo 592,,Escuela Infantil Primeras Huellas,Primeras Huellas,4981-5364,INFO@PRIMERASHUELLAS.COM.AR,IniCom,Gestion Privada,-58.4329949918435,-34.608904760686,"{""type"":""Point"",""coordinates"":[-58.43299,-34.6089]}"
Avda. Corrientes 5843,,La Osa Popina,La Osa Popina,4856-1565,PULGIONI@YAHOO.COM.AR,IniCom,Gestion Privada,-58.4443333612554,-34.5941904302128,"{""type"":""Point"",""coordinates"":[-58.44433,-34.59419]}"
San Pedro 5477,,Escuela Infantil Semillitas I,Semillitas I,4682-1887,JARDINMATERNALSEMILLITAS@HOTMAIL.COM,IniCom,Gestion Privada,-58.4897764669545,-34.6566203165577,"{""type"":""Point"",""coordinates"":[-58.48978,-34.65662]}"
Argerich 3940,,Escuela Infantil Burbujitas,Burbujitas,4572-1146,BURBUJITAS2002@HOTMAIL.COM,IniCom,Gestion Privada,-58.4985722470135,-34.5927119152209,"{""type"":""Point"",""coordinates"":[-58.49857,-34.59271]}"
Estados Unidos 2178,,Jardín Garabato y Vos,Jardín Garabato y Vos,4941-3184,CARSARJARDIN@HOTMAIL.COM,IniCom,Gestion Privada,-58.3970798629921,-34.6197016144919,"{""type"":""Point"",""coordinates"":[-58.39708,-34.6197]}"
La Pampa 2749,,Entremimos,Entremimos,4781-2191,ENTREMIMOS@GMAIL.COM,IniCom,Gestion Privada,-58.4575261022762,-34.5666632926546,"{""type"":""Point"",""coordinates"":[-58.45753,-34.56666]}"
Alejandro Magarińos Cervantes 2047,,Escuela Infantil Manchitas,Manchitas,4584-7211,JARDINMANCHITAS@YAHOO.COM.AR,IniCom,Gestion Privada,-58.469489227907,-34.6079233200538,"{""type"":""Point"",""coordinates"":[-58.46949,-34.60792]}"
Hortiguera 216,,Escuela Infantil Tenderness,Tenderness,4432-4747,TENDERNESS@TELECENTRO.COM.AR,IniCom,Gestion Privada,-58.446345028205,-34.6248639803567,"{""type"":""Point"",""coordinates"":[-58.44635,-34.62486]}"
Bermudez 2112,,Escuela Infantil Daddy Ross Garden,Daddy Ross Garden,4566-5497,SIN DATOS,IniCom,Gestion Privada,-58.5100793509068,-34.6191993121987,"{""type"":""Point"",""coordinates"":[-58.51008,-34.6192]}"
Bravard 1174,,Jardín de Infantes Pipoka,Pipoka,4855-1868,JARDINPIPUKA@FIBERTEL.COM.AR,IniCom,Gestion Privada,-58.4390267238551,-34.6040638121783,"{""type"":""Point"",""coordinates"":[-58.43903,-34.60406]}"
Tucumán 1756,,Jardín Materno Infantil OSECAC Centro,JMI OSECAC Centro,4371-1691,JARDIN-CENTRO@HOTMAIL.COM,IniCom,Gestion Privada,-58.3920081965904,-34.602087612059,"{""type"":""Point"",""coordinates"":[-58.39201,-34.60209]}"
Yerbal 820,,Escuela Infantil Hermanos Felices,Hermanos Felices,4901-1198,JARDINYERBAL@HOTMAIL.COM,IniCom,Gestion Privada,-58.4421884473898,-34.6194971607658,"{""type"":""Point"",""coordinates"":[-58.44219,-34.6195]}"
Yerbal 872,,Escuela Infantil Hermanos Felices,Hermanos Felices,4433-3922,JARDINYERBAL@HOTMAIL.COM,IniCom,Gestion Privada,-58.4428760557033,-34.6198160201404,"{""type"":""Point"",""coordinates"":[-58.44288,-34.61982]}"
Melincué 3161,,Jardín Andy Panda,Jardín Andy Panda,4503-4639,ANDYPANDAJARDIN@HOTMAIL.COM,IniCom,Gestion Privada,-58.4935967195135,-34.6026181162545,"{""type"":""Point"",""coordinates"":[-58.4936,-34.60262]}"
Culpina 440,,Escuela Infantil Mimos,Mimos,4637-5965,JARDINMIMOS@HOTMAIL.COM,IniCom,Gestion Privada,-58.46447324256,-34.6351381750441,"{""type"":""Point"",""coordinates"":[-58.46447,-34.63514]}"
Guayaquil 219,,Escuela Infantil Tiempo de Juego,Tiempo de Juego,4902-6692,JARDINTIEMPODEJUEGO@HOTMAIL.COM,IniCom,Gestion Privada,-58.4316837540528,-34.6197870158292,"{""type"":""Point"",""coordinates"":[-58.43168,-34.61979]}"
Manzanares 2201,,Jardín Ta Te Ti Nuńez,Jardín Ta Te Ti Nuńez,4703-3365,JARDIN_TATETINUĽEZ@YAHOO.COM.AR,IniCom,Gestion Privada,-58.4673910541352,-34.5463333390865,"{""type"":""Point"",""coordinates"":[-58.46739,-34.54633]}"
Cosquín 2025,,Mi Placita,Mi Placita,4686-3377,MONICA_FACHINATO@HOTMAIL.COM,IniCom,Gestion Privada,-58.5090974708795,-34.659233806403,"{""type"":""Point"",""coordinates"":[-58.5091,-34.65923]}"
